lon	lat
-117.3541667	37.82916667
-117.3875	37.82083333
-117.3875	37.8125
-117.4125	37.77083333
-117.4041667	37.7625
-117.4041667	37.75416667
-117.3791667	37.7375
-117.3708333	37.7375
-117.2625	37.7375
-117.3875	37.72916667
-117.3625	37.72916667
-117.3541667	37.72916667
-117.3791667	37.72083333
-117.2291667	37.67916667
-117.2125	37.64583333
-114.8208333	37.62083333
-114.8041667	37.62083333
-114.7958333	37.62083333
-117.2208333	37.6125
-115.4458333	37.6125
-114.8541667	37.6125
-114.8458333	37.6125
-114.8375	37.6125
-114.8125	37.6125
-114.8041667	37.6125
-114.7875	37.6125
-114.7125	37.6125
-114.8041667	37.60416667
-114.7958333	37.60416667
-117.2125	37.59583333
-114.7958333	37.59583333
-114.6875	37.59583333
-117.7375	37.5875
-117.7458333	37.57916667
-117.7291667	37.57916667
-117.7375	37.57083333
-117.2041667	37.57083333
-114.8041667	37.55416667
-114.8041667	37.54583333
-114.7958333	37.54583333
-115.4625	37.52916667
-114.8208333	37.52916667
-114.8125	37.52916667
-115.3708333	37.52083333
-115.3041667	37.52083333
-115.2708333	37.52083333
-115.2625	37.52083333
-114.8208333	37.52083333
-114.8125	37.52083333
-115.3708333	37.5125
-115.3625	37.5125
-115.3125	37.5125
-115.3041667	37.5125
-115.2875	37.5125
-115.2791667	37.5125
-115.2708333	37.5125
-114.8791667	37.5125
-114.8708333	37.5125
-115.5125	37.50416667
-115.5041667	37.50416667
-115.3625	37.50416667
-115.3541667	37.50416667
-115.3458333	37.50416667
-115.3208333	37.50416667
-115.3125	37.50416667
-115.3041667	37.50416667
-115.2958333	37.50416667
-114.8791667	37.50416667
-117.1958333	37.49583333
-115.5291667	37.49583333
-115.5208333	37.49583333
-115.5125	37.49583333
-115.5041667	37.49583333
-115.4958333	37.49583333
-115.5291667	37.4875
-115.5208333	37.4875
-115.5125	37.4875
-115.5041667	37.4875
-115.4958333	37.4875
-115.4875	37.4875
-115.5291667	37.47916667
-115.5208333	37.47916667
-115.5125	37.47916667
-115.5041667	37.47916667
-115.4958333	37.47916667
-115.4875	37.47916667
-115.4791667	37.47916667
-115.3875	37.47916667
-114.7708333	37.47916667
-115.5208333	37.47083333
-115.5125	37.47083333
-115.5041667	37.47083333
-115.4958333	37.47083333
-115.4875	37.47083333
-115.4791667	37.47083333
-115.4708333	37.47083333
-117.7625	37.4625
-117.7291667	37.4625
-117.2291667	37.4625
-115.5125	37.4625
-115.5041667	37.4625
-115.4958333	37.4625
-115.4875	37.4625
-115.4791667	37.4625
-115.4708333	37.4625
-115.4625	37.4625
-115.3875	37.4625
-115.3625	37.4625
-115.3375	37.4625
-115.3208333	37.4625
-117.7958333	37.45416667
-117.4791667	37.45416667
-115.5041667	37.45416667
-115.4958333	37.45416667
-115.4875	37.45416667
-115.4791667	37.45416667
-115.4708333	37.45416667
-115.4625	37.45416667
-115.3458333	37.45416667
-115.3375	37.45416667
-115.3291667	37.45416667
-117.4291667	37.44583333
-117.3708333	37.44583333
-117.3208333	37.44583333
-115.4875	37.44583333
-115.4791667	37.44583333
-115.4708333	37.44583333
-115.4625	37.44583333
-115.4541667	37.44583333
-115.4458333	37.44583333
-115.4375	37.44583333
-115.3875	37.44583333
-115.3791667	37.44583333
-117.6875	37.4375
-117.1625	37.4375
-115.4875	37.4375
-115.4791667	37.4375
-115.4708333	37.4375
-115.4625	37.4375
-115.4541667	37.4375
-115.4458333	37.4375
-115.4375	37.4375
-115.3791667	37.4375
-115.5541667	37.42916667
-115.5458333	37.42916667
-115.4708333	37.42916667
-115.4625	37.42916667
-115.4541667	37.42916667
-115.4375	37.42916667
-115.4291667	37.42916667
-115.3875	37.42916667
-115.5625	37.42083333
-115.5541667	37.42083333
-115.5458333	37.42083333
-115.4708333	37.42083333
-115.4625	37.42083333
-115.4541667	37.42083333
-115.4458333	37.42083333
-115.4375	37.42083333
-115.4291667	37.42083333
-115.4208333	37.42083333
-115.3875	37.42083333
-115.1708333	37.42083333
-117.1541667	37.4125
