"lon","lat","type","year","flr","pptY0","pptY1","pptY2","pptY0Y1","pptY1Y2","tmaxY0","tmaxY1","tmaxY2","tmaxY0Y1","tmaxY1Y2","tminY0","tminY1","tminY2","tminY0Y1","tminY1Y2","vpdmaxY0","vpdmaxY1","vpdmaxY2","vpdmaxY0Y1","vpdmaxY1Y2","vpdminY0","vpdminY1","vpdminY2","vpdminY0Y1","vpdminY1Y2"
-115.749999743528,35.6249996499918,"YUJA",2010,TRUE,195.266998291016,148.501998901367,212.550994873047,46.7650032043457,-64.0490112304688,38.701000213623,37.8959999084473,39.0709991455078,0.805000305175781,-1.17499923706055,0.386999994516373,-0.228000000119209,-0.409000009298325,0.615000009536743,0.181000009179115,61.484001159668,57.5429992675781,61.4949989318848,3.94100189208984,-3.95199966430664,1.64900004863739,1.375,1.53400003910065,0.27400004863739,-0.159000039100647
-115.458333053528,35.1666662799918,"YUJA",2010,TRUE,219.803009033203,168.514999389648,210.242004394531,51.2880096435547,-41.7270050048828,34.7639999389648,33.3699989318848,34.5670013427734,1.39400100708008,-1.19700241088867,-0.416999995708466,0.236000001430511,-0.163000002503395,-0.652999997138977,0.398999989032745,48.3190002441406,43.8569984436035,46.7099990844727,4.46200180053711,-2.85300064086914,1.77199995517731,2.23300004005432,1.74800002574921,-0.461000084877014,0.485000014305115
-118.499999963528,34.7499995799918,"YUBR",2010,TRUE,298.216003417969,284.492004394531,356.300994873047,13.7239990234375,-71.8090057373047,36.673999786377,35.2879981994629,35.7929992675781,1.38600158691406,-0.505001068115234,0.53600001335144,1.13399994373322,0.416000008583069,-0.597999930381775,0.717999935150146,53.3689994812012,48.3819999694824,52.1500015258789,4.98699951171875,-3.76800155639648,1.41199994087219,1.58800005912781,1.48099994659424,-0.176000118255615,0.107000112533569
-116.208333113528,34.0416661899918,"YUBR",2010,TRUE,207.643997192383,125.218002319336,134.59700012207,82.4259948730469,-9.37899589538574,35.8800010681152,35.023998260498,35.6920013427734,0.856002807617188,-0.668003082275391,-0.566999971866608,-0.337999999523163,-0.301999986171722,-0.228999972343445,-0.0360000133514404,51.7700004577637,49.1319999694824,48.5369987487793,2.63800048828125,0.595001220703125,1.49899995326996,1.82000005245209,1.4539999961853,-0.321000099182129,0.366000056266785
-116.166666443528,33.9999995199918,"YUBR",2010,TRUE,213.499008178711,137.026992797852,141.162002563477,76.4720001220703,-4.13499927520752,35.4449996948242,34.6360015869141,35.2700004577637,0.808998107910156,-0.633998870849609,-1.04900002479553,-0.75,-0.705999970436096,-0.299000024795532,-0.0440000295639038,50.0900001525879,47.7220001220703,47.3190002441406,2.36800003051758,0.402999877929688,1.3860000371933,1.72899997234344,1.39499998092651,-0.342999935150146,0.333999991416931
-115.874999753528,33.8749995099918,"YUBR",2010,TRUE,163.718002319336,127.215995788574,110.836006164551,36.5020027160645,16.3799934387207,38.8370018005371,37.4370002746582,38.3549995422363,1.40000152587891,-0.917999267578125,1.91600000858307,2.49499988555908,1.85599994659424,-0.578999876976013,0.638999938964844,60.2369995117188,55.7999992370605,56.0359992980957,4.4370002746582,-0.236000061035156,1.71700000762939,2.11199998855591,1.8860000371933,-0.394999980926514,0.22599995136261
-117.208333193528,37.6666664799918,"YUBR",2010,FALSE,104.19100189209,96.1139984130859,112.670997619629,8.07700061798096,-16.556999206543,32.8779983520508,32.9109992980957,33.6629981994629,-0.0330009460449219,-0.751998901367188,-7.51200008392334,-6.30200004577637,-6.40399980545044,-1.21000003814697,0.101999759674072,43.523998260498,43.9580001831055,46.5419998168945,-0.434001922607422,-2.58399963378906,0.992999970912933,0.959999978542328,0.785000026226044,0.0329999923706055,0.174999952316284
-113.874999593528,37.1249997699918,"YUJA",2010,FALSE,352.703002929688,338.407012939453,403.912017822266,14.2959957122803,-65.505012512207,31.8990001678467,30.9220008850098,32.2960014343262,0.976999282836914,-1.37400054931641,-3.13199996948242,-2.07399988174438,-3.49499988555908,-1.05800008773804,1.4210000038147,39.9080009460449,35.6419982910156,41.0509986877441,4.2660026550293,-5.40900039672852,1.29100000858307,1.79999995231628,1.57299995422363,-0.508999943733215,0.226999998092651
-113.791666253528,36.9583330899918,"YUJA",2010,FALSE,203.554992675781,174.119995117188,213.65901184082,29.4349918365479,-39.5390090942383,41.0289993286133,40.2490005493164,41.3409996032715,0.779998779296875,-1.09199905395508,-0.372999995946884,-0.0219999998807907,-0.259999990463257,-0.351000010967255,0.237999990582466,68.8460006713867,65.3160018920898,69.4499969482422,3.52999877929688,-4.13399505615234,1.87800002098083,1.692999958992,1.75100004673004,0.185000061988831,-0.0580000877380371
-117.499999883528,36.7916664099918,"YUBR",2010,FALSE,140.570007324219,108.897994995117,174.225997924805,31.6720008850098,-65.327995300293,34.7550010681152,34.2099990844727,34.9959983825684,0.545001983642578,-0.785999298095703,-3.05200004577637,-2.27300000190735,-3.39000010490417,-0.779000043869019,1.11700010299683,47.9990005493164,47.2900009155273,50.2900009155273,0.708999633789062,-3,1.46300005912781,1.77100002765656,1.41299998760223,-0.307999968528748,0.358000040054321
-117.666666563528,36.3333330399918,"YUBR",2010,FALSE,177.434997558594,115.581001281738,187.625,61.8539962768555,-72.0439987182617,34.5130004882812,33.7540016174316,34.2369995117188,0.758998870849609,-0.482997894287109,-4.3730001449585,-4.16699981689453,-4.86499977111816,-0.206000328063965,0.697999954223633,46.7430000305176,44.6459999084473,46.8419990539551,2.09700012207031,-2.19599914550781,0.773000001907349,0.666000008583069,0.583000004291534,0.10699999332428,0.0830000042915344
